population_id,weight_g,source,as_of_date,weight_date,current_count,current_biomass_kg,sample_size,population_name,fishgroup,environment,batch_label,input_project_id,input_project_name,year_class
1C9E2034-635D-4B01-A16C-92D8B198BF42,0.1,status,2026-02-04,2024-09-04,86588.0,8.6588,,Benchmark Gen. Juni 2024,242.0021,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
64F4FEDE-ABE0-4C68-A9F6-9342D24EB987,162.47,status,2026-02-04,2025-07-16,197513.0,32090.9,,Benchmark Gen. Juni 2024,242.0286,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
00800DB1-E90F-492B-91AB-93AEA0D7851D,8.4,status,2026-02-04,2024-12-05,188187.0,1580.45,,Benchmark Gen. Juni 2024,242.0097,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
10B1DDCE-A4C9-45CA-8CE6-953E2F6E39AE,637.0,status,2026-02-04,2025-09-15,104462.0,66542.3,,Benchmark Gen. Juni 2024,242.0265,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
7C6917A9-0A2D-4D96-AF17-95AD1FBCC08E,31.75,status,2026-02-04,2025-01-24,305845.0,9710.58,,Benchmark Gen. Juni 2024,242.0121,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
CAB03C1D-B230-4534-BE35-9622F13C2093,211.0,status,2026-02-04,2025-06-26,58317.0,12304.9,,Benchmark Gen. Juni 2024,242.0277,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
4C410CCD-693F-4E0D-AE70-97211D0ED85E,0.1,status,2026-02-04,2024-09-04,86420.0,8.642,,Benchmark Gen. Juni 2024,242.0040,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
4F9EF57F-F317-456D-B742-98AA2AE9BF85,102.24,status,2026-02-04,2025-05-08,122510.0,12525.3,,Benchmark Gen. Juni 2024,242.0129,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
65046E2B-D5A4-4AF3-8869-98B8BFEA7FAD,147.13,status,2026-02-04,2025-07-21,129799.0,19096.9,,Benchmark Gen. Juni 2024,242.0295,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
FF67DB3B-1A90-43EC-A484-98D63D4FB158,41.8,status,2026-02-04,2025-03-05,36495.0,1525.53,,Benchmark Gen. Juni 2024,242.0167,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
66430865-DE17-4E68-A770-98DC26CE597F,3.09,status,2026-02-04,2024-12-05,385477.0,1191.85,,Benchmark Gen. Juni 2024,242.0073,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
A32B7700-CD03-43C2-A025-9A01BBEE936D,65.14,status,2026-02-04,2025-03-26,179330.0,11680.9,,Benchmark Gen. Juni 2024,242.0177,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
0C882ACB-8B11-469D-AACD-9A3071A8438C,0.1,status,2026-02-04,2024-09-04,86954.0,8.6954,,Benchmark Gen. Juni 2024,242.0035,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
741AB25B-DB74-4AA8-B1AC-9DBF14E75809,225.82,status,2026-02-04,2025-07-16,20743.0,4684.11,,Benchmark Gen. Juni 2024,242.0289,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
